timestamp,Left Shoulder,Right Shoulder,Left Elbow,Right Elbow,Left Wrist,Right Wrist,average_similarity
0.00,61.18,61.87,57.98,54.50,59.78,55.78,58.52
0.03,61.31,61.52,59.85,58.86,60.57,57.95,60.01
0.07,64.39,65.12,62.49,62.41,65.17,60.65,63.37
0.10,65.27,67.62,63.03,64.74,65.33,61.27,64.54
0.13,65.38,67.76,63.23,64.35,64.26,62.56,64.59
0.17,64.65,67.06,63.17,63.88,63.88,61.94,64.10
0.20,64.82,67.13,63.34,64.41,64.85,62.49,64.51
0.23,64.47,66.69,63.13,63.75,64.18,61.63,63.98
0.27,64.23,66.79,63.15,63.95,64.98,61.97,64.18
0.30,64.60,67.20,62.95,64.78,65.27,62.07,64.48
0.33,64.55,67.23,62.73,64.91,65.59,62.21,64.54
0.37,64.48,67.40,62.43,64.91,66.42,62.38,64.67
0.40,63.32,66.89,61.88,64.25,66.68,60.93,63.99
0.43,63.40,66.97,61.93,64.16,65.35,60.12,63.65
0.47,63.55,67.02,62.64,64.28,67.59,60.51,64.27
0.50,62.74,66.12,61.78,62.75,66.48,58.27,63.02
0.53,62.27,65.65,61.53,62.61,66.90,59.33,63.05
0.57,62.05,65.43,61.22,62.15,66.66,58.97,62.74
0.60,61.52,64.80,60.74,61.40,66.31,58.41,62.20
0.63,61.12,64.22,60.56,60.93,65.60,57.96,61.73
0.67,60.76,63.76,60.44,60.51,64.73,57.86,61.35
0.70,61.21,64.27,60.38,61.29,63.41,58.89,61.57
0.73,61.35,64.38,60.84,61.56,64.06,58.72,61.82
0.77,61.50,64.29,61.00,61.49,62.99,58.45,61.62
0.80,61.50,64.17,60.82,61.24,62.24,57.88,61.31
0.83,61.25,63.57,60.33,60.94,61.47,57.44,60.83
0.87,60.95,63.19,60.78,60.57,60.77,57.47,60.62
0.90,60.71,62.95,61.52,61.13,60.83,57.15,60.71
0.93,60.02,62.56,61.03,61.03,60.82,56.19,60.28
0.97,59.09,62.14,61.58,62.36,61.09,57.29,60.59
1.00,58.62,62.23,62.85,63.34,63.51,58.29,61.47
1.03,58.45,62.80,65.10,63.02,65.44,54.87,61.61
1.07,61.94,64.76,70.03,66.97,52.98,61.08,62.96
1.10,61.80,64.94,70.82,69.38,69.64,64.20,66.80
1.13,61.86,64.61,71.00,72.73,73.31,71.47,69.16
1.17,61.66,63.87,74.25,71.02,76.53,60.26,67.93
1.20,61.54,63.48,73.87,72.62,71.57,64.26,67.89
1.23,60.40,61.48,74.80,76.82,69.53,55.48,66.42
1.27,57.34,58.35,68.21,77.83,75.65,85.07,70.41
1.30,54.09,54.85,59.26,58.20,58.03,54.63,56.51
1.33,53.36,53.59,62.73,60.42,63.13,54.99,58.04
1.37,50.69,50.49,62.80,58.14,67.20,56.24,57.60
1.40,50.00,49.58,65.23,60.06,73.85,59.44,59.69
1.43,49.33,49.22,67.12,60.13,81.23,61.99,61.50
1.47,51.34,51.40,75.89,60.30,93.98,62.45,65.89
1.50,53.87,53.17,75.89,62.00,82.63,63.49,65.18
1.53,52.13,51.79,71.83,59.73,76.66,60.43,62.09
1.57,50.72,50.25,73.19,55.85,86.53,56.41,62.16
1.60,49.42,49.15,71.57,52.63,81.21,50.66,59.11
1.63,48.60,48.38,67.36,50.15,71.25,47.19,55.49
1.67,47.20,47.01,65.00,48.44,67.95,43.35,53.16
1.70,46.77,46.63,64.12,47.75,66.51,42.68,52.41
1.73,46.46,46.21,64.80,47.15,66.56,41.50,52.11
1.77,46.17,45.98,65.64,47.20,67.11,41.21,52.22
1.80,45.49,45.26,65.50,46.38,67.79,40.46,51.81
1.83,44.21,44.02,63.91,45.09,66.92,39.34,50.58
1.87,43.97,43.79,63.78,45.07,69.69,38.67,50.83
1.90,43.70,43.49,63.37,44.83,70.00,38.37,50.63
1.93,43.53,43.33,63.07,44.60,69.97,38.24,50.46
1.97,43.41,43.28,62.94,44.44,69.31,37.96,50.22
2.00,43.63,43.53,63.27,44.77,68.29,38.19,50.28
2.03,43.61,43.40,63.14,44.64,67.82,38.34,50.16
2.07,43.34,43.15,62.76,44.39,68.44,38.34,50.07
2.10,43.30,43.09,62.72,44.36,68.68,38.38,50.09
2.13,43.32,43.11,62.83,44.48,68.76,38.46,50.16
2.17,43.36,43.16,63.28,44.51,69.23,38.49,50.34
2.20,43.41,43.18,63.77,44.57,69.96,38.54,50.57
2.23,43.50,43.25,64.10,44.69,69.98,38.64,50.69
2.27,43.63,43.39,64.48,44.71,70.61,38.73,50.92
2.30,43.78,43.55,65.12,44.78,71.37,38.78,51.23
2.33,43.88,43.64,65.50,44.81,71.76,38.80,51.40
2.37,44.01,43.73,65.87,44.83,71.83,38.82,51.51
2.40,44.08,43.75,66.10,44.80,71.87,38.80,51.57
2.43,44.21,43.83,66.62,44.79,72.11,38.82,51.73
2.47,44.37,43.94,67.54,44.81,73.25,38.86,52.13
2.50,44.45,44.04,68.14,44.83,76.16,38.92,52.76
2.53,44.66,44.19,69.09,45.01,77.38,38.99,53.22
2.57,44.74,44.28,69.50,45.15,77.53,39.04,53.37
2.60,44.76,44.33,69.43,45.33,77.51,39.09,53.41
2.63,44.79,44.37,69.37,45.41,77.11,39.14,53.37
2.67,44.73,44.31,69.20,45.47,75.35,39.15,53.04
2.70,44.66,44.24,68.69,45.49,73.94,39.16,52.70
2.73,44.64,44.21,68.24,45.51,72.59,39.18,52.39
2.77,44.49,44.05,67.95,45.45,73.06,39.16,52.36
2.80,44.28,43.84,67.56,45.27,73.60,39.07,52.27
2.83,44.13,43.68,67.26,45.11,74.16,38.97,52.22
2.87,44.11,43.66,67.19,45.07,74.43,38.94,52.23
2.90,44.00,43.54,67.02,44.90,74.69,38.85,52.17
2.93,43.96,43.49,67.04,44.85,75.04,38.80,52.20
2.97,43.37,42.90,64.90,43.82,72.33,38.28,50.94
3.00,45.52,45.32,61.10,47.61,61.83,40.49,50.31
3.03,46.54,46.30,57.90,51.77,54.70,42.99,50.03
3.07,46.36,46.10,55.21,52.43,52.07,45.42,49.60
3.10,44.22,43.90,54.31,51.63,53.52,45.57,48.86
3.13,45.50,45.45,52.90,68.96,48.80,38.23,49.97
3.17,43.60,42.65,49.12,57.63,47.24,52.80,48.84
3.20,43.85,42.77,46.72,59.88,43.22,54.65,48.52
3.23,43.45,42.59,45.34,58.85,41.30,56.38,47.99
3.27,43.35,42.54,48.33,59.57,44.76,56.92,49.24
3.30,43.20,42.34,52.44,55.81,49.31,54.31,49.57
3.33,43.14,42.31,53.69,55.45,51.81,54.20,50.10
3.37,44.29,43.12,53.78,57.85,50.50,56.68,51.04
3.40,44.32,43.08,53.54,57.44,50.14,57.01,50.92
3.43,44.65,43.41,52.88,58.93,47.80,58.70,51.06
3.47,45.11,43.76,53.20,58.19,47.76,57.57,50.93
3.50,45.09,43.74,52.41,58.05,46.77,56.93,50.50
3.53,44.64,43.21,52.93,56.59,47.61,55.92,50.15
3.57,44.80,43.36,52.96,56.95,47.28,55.98,50.22
3.60,44.87,43.34,52.27,57.52,46.22,56.38,50.10
3.63,44.81,43.20,51.13,56.89,46.55,55.81,49.73
3.67,44.93,43.49,51.73,56.90,47.48,55.61,50.02
3.70,45.16,43.74,52.18,57.36,48.12,55.64,50.36
3.73,45.28,43.87,52.68,57.21,48.83,55.38,50.54
3.77,45.49,44.27,52.70,57.92,49.01,55.74,50.86
3.80,45.90,44.88,54.50,59.14,49.92,57.03,51.89
3.83,46.43,45.39,52.93,60.93,47.49,59.09,52.04
3.87,46.67,45.66,53.29,61.69,47.71,59.87,52.48
3.90,47.08,46.04,53.57,62.58,47.62,60.80,52.95
3.93,47.21,46.15,53.05,63.68,46.40,62.30,53.13
3.97,47.19,46.12,53.09,63.86,46.32,62.70,53.22
4.00,47.42,46.29,53.71,64.41,46.44,63.15,53.57
4.03,47.66,46.52,53.66,64.74,46.16,64.19,53.82
4.07,47.88,46.62,53.68,65.00,46.10,64.55,53.97
4.10,48.19,46.78,54.03,65.44,46.72,65.16,54.39
4.13,48.40,46.98,53.93,65.89,46.29,65.93,54.57
4.17,48.44,47.02,53.74,66.24,45.86,66.62,54.65
4.20,48.52,47.10,53.32,66.34,45.10,66.81,54.53
4.23,48.80,47.38,53.11,66.93,44.77,67.66,54.77
4.27,48.82,47.42,52.14,67.48,43.77,68.27,54.65
4.30,48.83,47.42,51.50,67.80,43.16,68.47,54.53
4.33,48.82,47.45,51.43,67.83,43.07,68.76,54.56
4.37,48.81,47.43,51.89,67.67,43.46,68.38,54.61
4.40,48.74,47.44,51.37,67.71,43.52,68.15,54.49
4.43,48.57,47.31,51.00,67.79,43.34,68.15,54.36
4.47,48.48,47.22,50.92,67.97,43.33,68.57,54.42
4.50,48.42,47.17,49.72,67.60,42.40,68.18,53.91
4.53,48.37,47.20,49.73,66.96,42.41,67.36,53.67
4.57,48.29,47.21,50.16,66.55,42.98,66.90,53.68
4.60,48.26,47.21,49.85,66.47,42.98,66.97,53.62
4.63,48.24,47.03,50.03,66.07,43.21,66.62,53.53
4.67,48.21,46.91,50.17,65.56,43.75,66.23,53.47
4.70,48.21,46.79,50.42,65.36,44.90,66.40,53.68
4.73,48.29,46.84,52.27,65.91,46.00,67.84,54.53
4.77,48.29,46.92,52.34,65.98,46.23,68.43,54.70
4.80,48.28,46.93,52.62,65.78,46.46,68.55,54.77
4.83,48.30,47.01,52.69,66.05,46.45,69.85,55.06
4.87,48.36,47.13,52.63,66.30,46.35,70.27,55.17
4.90,48.35,47.27,52.12,66.32,45.27,70.13,54.91
4.93,48.37,47.33,51.55,66.17,44.92,70.02,54.73
4.97,48.33,47.27,51.74,65.95,45.11,69.83,54.70
5.00,48.26,47.12,51.96,65.60,45.31,69.42,54.61
5.03,48.24,47.05,52.31,65.39,45.63,69.13,54.63
5.07,47.94,46.79,52.81,64.89,46.10,68.22,54.46
5.10,47.77,46.61,53.75,64.59,47.25,67.68,54.61
5.13,47.71,46.53,53.89,64.54,47.26,67.33,54.54
5.17,47.73,46.53,53.91,65.05,47.03,67.69,54.66
5.20,47.73,46.45,53.97,65.44,46.96,68.01,54.76
5.23,47.70,46.28,53.87,65.50,46.64,68.23,54.70
5.27,47.65,46.14,53.99,65.41,46.64,68.43,54.71
5.30,47.52,45.85,54.14,65.11,46.70,68.15,54.58
5.33,47.15,45.45,54.72,64.30,47.39,67.18,54.37
5.37,46.86,45.17,55.17,63.52,47.92,66.07,54.12
5.40,46.69,45.00,55.36,62.98,48.20,65.55,53.96
5.43,46.54,44.88,55.56,62.43,48.48,64.95,53.81
5.47,46.30,44.72,54.82,61.60,48.40,63.99,53.31
5.50,46.22,44.73,54.77,61.46,48.41,63.79,53.23
5.53,46.14,44.71,54.81,61.45,48.37,63.81,53.22
5.57,45.73,44.38,55.31,60.71,48.56,62.93,52.94
5.60,45.54,44.21,55.59,60.31,49.26,62.44,52.89
5.63,45.52,44.19,55.42,60.28,49.64,62.32,52.89
5.67,45.50,44.17,55.98,60.34,50.52,62.22,53.12
5.70,45.53,44.16,56.49,60.37,51.18,62.13,53.31
5.73,45.58,44.19,56.93,60.40,51.79,62.07,53.49
5.77,45.67,44.28,56.89,60.52,51.61,62.12,53.52
5.80,45.68,44.33,56.58,60.40,51.49,61.82,53.38
5.83,45.74,44.38,56.52,60.37,51.59,61.80,53.40
