timestamp,Left Shoulder,Right Shoulder,Left Elbow,Right Elbow,Left Wrist,Right Wrist,average_similarity
0.00,83.15,84.85,80.64,81.92,85.53,77.57,82.28
0.03,72.35,73.68,72.01,72.74,70.62,66.81,71.37
0.07,72.57,73.85,71.51,71.94,72.42,66.75,71.51
0.10,72.11,73.67,71.23,72.88,73.08,66.69,71.61
0.13,71.68,73.21,70.55,73.61,73.39,67.74,71.70
0.17,70.79,72.90,70.06,71.85,71.66,65.86,70.52
0.20,71.05,72.10,70.68,71.34,71.39,65.40,70.33
0.23,71.52,72.68,71.88,72.26,73.93,66.15,71.40
0.27,72.39,73.66,72.36,72.72,76.22,67.13,72.41
0.30,71.29,72.95,71.14,72.30,73.95,67.07,71.45
0.33,71.20,72.79,70.89,71.77,73.17,66.69,71.09
0.37,70.52,72.43,69.85,71.60,72.43,66.90,70.62
0.40,70.51,72.47,70.35,71.71,73.33,67.30,70.95
0.43,70.31,72.08,70.35,71.40,72.51,66.83,70.58
0.47,70.15,71.91,70.09,70.98,72.27,66.02,70.24
0.50,69.68,71.48,69.55,70.38,71.64,65.56,69.71
0.53,69.77,71.69,69.90,70.49,72.62,65.53,70.00
0.57,69.47,71.40,69.78,70.30,72.41,65.42,69.80
0.60,69.54,71.52,69.94,70.40,72.83,65.45,69.95
0.63,69.70,71.65,70.10,70.27,72.89,65.07,69.94
0.67,70.14,72.09,70.64,70.81,72.89,65.24,70.30
0.70,70.48,72.46,71.10,70.87,73.43,65.49,70.64
0.73,70.75,72.70,71.46,70.75,73.66,65.20,70.75
0.77,70.82,72.75,71.49,70.58,73.36,64.98,70.66
0.80,70.88,72.80,71.53,70.33,73.28,65.04,70.64
0.83,70.84,72.72,71.43,70.17,72.92,64.91,70.50
0.87,70.79,72.67,71.32,70.11,72.65,65.00,70.42
0.90,70.78,72.66,71.30,70.14,72.58,65.03,70.41
0.93,70.92,72.82,71.48,70.31,72.82,65.29,70.61
0.97,71.08,72.98,71.62,70.48,72.98,65.47,70.77
1.00,71.12,73.02,71.62,70.55,72.95,65.55,70.80
1.03,71.23,73.13,71.67,70.65,72.97,65.60,70.88
1.07,71.41,73.21,71.72,70.63,73.07,65.50,70.92
1.10,71.45,73.20,71.73,70.58,73.12,65.43,70.92
1.13,71.49,73.21,71.78,70.58,73.12,65.42,70.93
1.17,71.51,73.22,71.82,70.57,73.14,65.40,70.94
1.20,71.54,73.23,71.88,70.56,73.23,65.37,70.97
1.23,71.61,73.30,71.95,70.61,73.31,65.38,71.03
1.27,71.68,73.39,72.03,70.69,73.41,65.41,71.10
1.30,71.67,73.39,71.98,70.71,73.34,65.37,71.08
1.33,71.70,73.43,71.98,70.78,73.43,65.41,71.12
1.37,71.72,73.46,71.96,70.83,73.51,65.41,71.15
1.40,71.82,73.53,72.07,70.97,73.74,65.51,71.27
1.43,71.89,73.60,72.17,71.08,73.95,65.61,71.38
1.47,72.14,73.69,72.44,71.22,74.17,65.74,71.57
1.50,72.24,73.70,72.54,71.24,74.28,65.72,71.62
1.53,72.34,73.69,72.69,71.29,74.64,65.72,71.73
1.57,72.36,73.66,72.77,71.38,74.79,65.74,71.78
1.60,72.42,73.62,72.84,71.38,74.81,65.73,71.80
1.63,72.46,73.58,72.92,71.40,74.84,65.74,71.82
1.67,72.44,73.53,72.88,71.39,74.82,65.70,71.79
1.70,72.44,73.49,72.87,71.41,74.83,65.66,71.78
1.73,72.39,73.41,72.83,71.41,74.75,65.64,71.74
1.77,72.34,73.38,72.80,71.38,74.69,65.66,71.71
1.80,72.40,73.42,72.84,71.43,74.70,65.66,71.74
1.83,72.31,73.39,72.60,71.45,74.37,65.61,71.62
1.87,72.17,73.33,72.24,71.36,73.79,65.45,71.39
1.90,72.12,73.33,72.03,71.31,73.44,65.30,71.25
1.93,72.12,73.47,71.87,71.41,73.16,65.26,71.22
1.97,72.12,73.57,71.74,71.43,73.03,65.23,71.19
2.00,72.24,73.78,71.79,71.47,73.06,65.24,71.26
2.03,72.30,73.90,71.81,71.51,73.12,65.28,71.32
2.07,72.33,74.00,71.76,71.55,73.08,65.29,71.34
2.10,72.37,74.05,71.75,71.67,73.09,65.39,71.39
2.13,72.38,74.07,71.76,71.67,73.14,65.61,71.44
