timestamp,Left Shoulder,Right Shoulder,Left Elbow,Right Elbow,Left Wrist,Right Wrist,average_similarity
0.00,66.53,66.35,70.91,67.56,69.22,68.21,68.13
0.03,58.63,59.00,60.20,59.75,59.67,58.93,59.36
0.07,62.88,62.94,65.54,62.09,65.34,60.46,63.21
0.10,61.15,61.26,63.72,61.87,63.42,60.78,62.03
0.13,59.82,59.94,60.99,61.46,59.92,59.32,60.24
0.17,59.92,60.26,60.70,61.75,60.25,60.17,60.51
0.20,60.98,61.09,63.00,63.22,63.53,61.57,62.23
0.23,59.72,60.25,61.16,61.57,60.91,59.72,60.55
0.27,60.43,61.15,62.21,62.97,63.15,61.19,61.85
0.30,59.36,60.10,60.69,61.83,61.24,60.07,60.55
0.33,59.36,60.11,60.84,61.79,61.53,59.90,60.59
0.37,59.26,60.04,60.82,61.68,61.67,60.06,60.59
0.40,58.98,59.75,60.74,61.07,61.83,59.88,60.37
0.43,58.72,59.49,60.51,60.68,61.38,59.78,60.10
0.47,58.51,59.24,60.26,60.33,60.97,59.37,59.78
0.50,58.50,59.23,60.30,60.37,60.84,59.32,59.76
0.53,58.41,59.12,60.26,60.28,60.65,59.04,59.63
0.57,58.36,59.09,60.27,60.25,60.41,58.84,59.54
0.60,58.81,59.52,60.94,60.63,61.09,59.05,60.01
0.63,58.75,59.48,60.82,60.59,60.95,58.88,59.91
0.67,58.71,59.39,60.71,60.48,60.61,58.67,59.76
0.70,58.53,59.18,60.47,60.22,60.28,58.38,59.51
0.73,58.68,59.31,60.69,60.43,60.46,58.53,59.68
0.77,58.68,59.31,60.76,60.48,60.47,58.57,59.71
0.80,58.63,59.26,60.72,60.50,60.31,58.66,59.68
0.83,58.57,59.21,60.52,60.38,60.04,58.65,59.56
0.87,58.56,59.22,60.48,60.49,59.96,58.98,59.62
0.90,58.51,59.18,60.39,60.46,59.87,58.96,59.56
0.93,58.39,59.10,60.29,60.39,59.70,58.86,59.45
0.97,58.31,59.06,60.24,60.35,59.62,58.91,59.41
1.00,58.32,59.06,60.24,60.35,59.63,58.89,59.42
1.03,58.52,59.24,60.66,60.53,59.95,59.19,59.68
1.07,58.73,59.42,61.09,60.74,60.16,59.50,59.94
1.10,59.17,59.81,61.94,61.24,60.90,60.10,60.53
1.13,59.21,59.85,62.05,61.29,60.99,60.14,60.59
1.17,59.12,59.78,62.61,61.24,60.73,60.18,60.61
1.20,59.07,59.71,62.84,61.02,60.48,60.08,60.53
1.23,59.15,59.74,62.90,60.39,59.80,60.00,60.33
1.27,59.17,59.74,63.06,60.12,59.33,59.85,60.21
1.30,59.13,59.71,63.15,60.02,58.42,59.68,60.02
1.33,59.16,59.76,63.43,60.16,57.69,59.62,59.97
1.37,59.19,59.78,63.71,60.09,56.00,59.58,59.72
1.40,59.06,59.68,64.09,60.04,54.97,60.27,59.68
1.43,58.47,59.17,64.41,59.60,53.59,62.06,59.55
1.47,58.18,58.93,64.73,59.46,52.52,63.51,59.56
1.50,58.00,58.82,65.55,59.27,51.86,63.53,59.50
1.53,57.85,58.69,65.36,58.98,51.35,63.90,59.36
1.57,57.97,58.81,65.45,59.02,51.06,63.62,59.32
1.60,58.69,59.51,65.92,59.67,51.36,62.50,59.61
1.63,59.09,59.88,66.58,59.48,51.27,60.53,59.47
1.67,59.33,60.11,66.34,59.15,51.30,60.21,59.41
1.70,59.60,60.36,66.74,59.41,51.54,61.64,59.88
1.73,59.74,60.49,66.50,59.52,51.76,62.46,60.08
1.77,59.63,60.42,66.31,59.34,52.32,62.03,60.01
1.80,59.26,60.13,65.59,59.09,51.69,60.14,59.32
1.83,58.75,59.66,66.34,58.68,51.55,57.81,58.80
1.87,58.61,59.58,66.59,58.88,52.03,53.82,58.25
1.90,58.55,59.51,65.07,58.98,52.30,51.98,57.73
1.93,58.31,59.17,64.54,59.08,52.85,51.94,57.65
1.97,58.36,59.20,64.50,59.09,53.22,52.14,57.75
2.00,59.01,59.73,64.75,59.82,54.87,51.94,58.35
2.03,59.61,60.12,65.58,60.36,55.09,52.16,58.82
2.07,60.06,60.49,65.62,60.72,57.00,51.47,59.23
2.10,60.51,60.80,66.26,61.04,59.87,51.76,60.04
2.13,60.26,60.55,64.98,61.16,60.68,51.48,59.85
2.17,60.54,60.80,64.98,61.80,64.04,50.07,60.37
2.20,59.87,60.22,63.22,61.55,65.90,53.30,60.68
2.23,60.15,60.50,62.89,61.18,67.89,49.83,60.41
2.27,60.76,61.05,62.91,61.37,69.83,51.46,61.23
2.30,61.63,61.87,62.61,61.25,71.61,49.89,61.48
2.33,63.42,63.56,63.40,60.79,72.49,48.26,61.99
2.37,64.26,64.53,63.46,60.75,71.22,49.40,62.27
2.40,63.66,63.98,61.01,59.48,66.88,50.29,60.88
2.43,63.48,63.77,59.74,58.36,63.52,50.04,59.82
2.47,63.47,63.61,57.56,56.60,61.46,49.54,58.71
2.50,62.96,63.23,58.35,54.36,62.14,49.33,58.40
2.53,60.91,61.19,57.85,51.44,59.04,47.18,56.27
2.57,60.77,60.95,62.03,50.80,58.29,47.77,56.77
2.60,60.49,60.70,67.86,49.54,61.22,47.32,57.85
2.63,59.39,59.50,70.38,47.78,67.55,46.65,58.54
2.67,58.82,58.86,70.02,45.95,68.05,46.96,58.11
2.70,57.98,57.93,70.15,45.81,63.56,46.89,57.05
2.73,58.52,58.58,74.50,45.35,67.21,46.78,58.49
2.77,58.69,58.81,75.54,45.43,67.94,45.98,58.73
2.80,59.36,59.34,83.45,46.18,71.72,45.91,60.99
2.83,60.29,60.29,85.01,46.94,73.25,46.59,62.06
2.87,59.37,59.34,90.46,46.60,82.20,45.40,63.89
2.90,61.16,61.16,90.56,46.69,80.43,45.99,64.33
2.93,61.34,61.36,91.72,46.81,77.96,47.20,64.40
2.97,61.28,61.31,89.74,47.11,76.98,46.94,63.89
3.00,61.04,61.06,82.38,45.59,76.26,46.69,62.17
3.03,60.96,60.97,78.90,45.08,74.78,43.70,60.73
3.07,60.59,60.59,78.56,43.84,77.96,43.87,60.90
3.10,61.70,61.67,77.07,44.11,79.46,43.27,61.21
3.13,62.63,62.55,76.88,44.49,79.99,43.63,61.70
3.17,62.94,62.86,74.71,44.12,75.70,43.49,60.64
3.20,63.80,63.67,78.72,44.73,76.82,45.19,62.16
3.23,64.29,64.09,81.86,44.92,72.95,45.59,62.28
3.27,64.54,64.33,83.11,43.67,82.32,47.10,64.18
3.30,64.63,64.42,83.19,43.53,80.01,48.24,64.00
3.33,63.57,63.44,84.15,43.65,76.01,48.26,63.18
3.37,62.74,62.57,80.46,44.59,68.66,49.56,61.43
3.40,61.26,61.14,77.37,44.08,67.74,48.46,60.01
3.43,59.15,59.17,80.34,43.40,67.32,47.52,59.48
3.47,57.81,57.92,84.64,42.22,65.02,47.03,59.11
3.50,56.22,56.38,80.62,41.29,62.39,45.71,57.10
3.53,55.90,56.02,81.31,40.65,61.33,46.77,57.00
3.57,55.15,55.22,79.98,40.25,59.70,46.70,56.17
3.60,54.40,54.46,78.57,39.84,59.33,46.39,55.50
3.63,53.78,53.83,75.26,39.68,58.19,46.94,54.61
3.67,53.67,53.71,73.13,39.95,57.72,47.10,54.21
3.70,53.81,53.84,71.84,40.03,57.22,46.59,53.89
3.73,52.47,52.52,68.80,39.97,55.82,46.92,52.75
3.77,51.96,52.02,66.91,39.94,54.92,46.65,52.07
3.80,52.07,52.13,68.78,39.29,56.92,46.47,52.61
3.83,52.10,52.17,63.87,39.27,55.17,46.64,51.54
3.87,52.08,52.15,64.14,38.96,56.61,46.62,51.76
3.90,52.70,52.79,63.27,39.33,57.44,47.25,52.13
3.93,56.67,56.57,68.16,40.70,60.61,50.07,55.46
3.97,59.24,59.11,78.34,41.39,64.35,51.83,59.04
4.00,58.96,58.87,79.08,41.39,63.06,50.29,58.61
4.03,59.13,59.01,82.84,41.65,62.22,48.96,58.97
4.07,59.20,59.11,85.07,42.18,59.81,48.89,59.05
4.10,56.05,56.05,84.39,40.97,59.35,45.97,57.13
4.13,53.70,53.68,81.69,40.02,57.77,45.28,55.36
4.17,53.53,53.46,80.82,40.96,55.65,45.86,55.05
4.20,52.91,52.76,81.01,40.57,53.88,45.63,54.46
4.23,52.66,52.52,79.67,40.17,52.84,46.49,54.06
4.27,52.27,52.11,79.67,40.38,51.41,46.40,53.71
4.30,50.64,50.55,75.64,39.63,50.52,45.24,52.04
4.33,50.00,49.86,73.64,39.63,50.54,44.77,51.41
4.37,49.72,49.60,72.39,39.59,50.79,44.82,51.15
4.40,48.58,48.50,68.21,39.09,50.51,43.44,49.72
4.43,47.99,48.01,65.33,38.90,50.12,43.41,48.96
4.47,47.59,47.51,61.37,38.79,50.39,42.43,48.01
4.50,46.97,46.97,59.90,38.73,51.43,41.32,47.55
4.53,46.42,46.46,58.72,39.22,50.92,41.32,47.18
4.57,45.94,45.97,57.27,39.54,50.84,40.52,46.68
4.60,45.80,45.83,56.61,39.97,51.35,40.53,46.68
4.63,45.66,45.65,56.11,40.10,51.34,40.48,46.56
4.67,45.53,45.43,53.66,40.52,51.04,40.38,46.09
4.70,45.72,45.54,53.01,40.91,51.28,41.00,46.24
4.73,45.94,45.73,53.21,41.34,52.02,40.91,46.53
4.77,46.33,46.09,53.67,41.73,52.68,41.39,46.98
4.80,47.27,47.03,54.90,42.66,53.67,42.36,47.98
4.83,48.62,48.40,55.83,43.64,54.52,43.36,49.06
4.87,49.63,49.43,56.55,44.88,54.95,44.30,49.96
4.90,50.22,50.02,57.10,45.83,54.68,45.64,50.58
4.93,51.54,51.30,58.52,47.00,56.54,46.87,51.96
4.97,51.53,51.23,58.69,47.43,56.50,46.98,52.06
5.00,50.02,49.57,56.69,46.97,54.26,45.93,50.57
5.03,50.21,49.74,56.74,47.36,53.79,46.25,50.68
5.07,50.54,50.11,56.89,47.97,53.23,48.24,51.17
5.10,51.39,51.05,58.03,49.06,53.52,49.71,52.13
5.13,51.92,51.59,58.48,49.44,52.86,50.71,52.50
5.17,53.15,52.89,59.56,50.51,53.39,52.67,53.70
5.20,53.76,53.54,59.57,51.18,53.65,54.10,54.30
5.23,55.16,54.98,60.75,52.13,54.56,55.61,55.53
5.27,57.80,57.68,63.33,54.31,57.09,58.66,58.15
5.30,59.43,59.31,64.50,55.59,60.16,59.36,59.72
5.33,59.88,59.75,64.57,56.68,62.38,60.06,60.55
