timestamp,Left Shoulder,Right Shoulder,Left Elbow,Right Elbow,Left Wrist,Right Wrist,average_similarity
0.00,71.20,73.39,71.04,79.82,67.57,84.58,74.60
0.03,84.86,88.93,89.08,87.97,82.80,79.23,85.48
0.07,83.99,88.07,87.00,89.20,80.98,81.06,85.05
0.10,89.75,92.50,94.67,88.59,88.00,79.01,88.75
0.13,89.63,91.33,92.84,90.34,84.03,79.96,88.02
0.17,88.67,92.52,91.15,91.13,86.50,80.77,88.46
0.20,90.10,93.28,95.81,88.05,87.80,78.10,88.86
0.23,90.56,91.51,98.39,86.18,89.18,78.43,89.04
0.27,88.94,94.22,89.42,91.99,84.88,80.64,88.35
0.30,87.65,91.79,86.82,90.95,84.16,79.31,86.78
0.33,89.42,92.66,89.80,90.17,85.73,82.00,88.30
0.37,91.10,94.54,93.02,91.03,88.31,82.04,90.01
0.40,92.72,94.50,94.13,90.89,89.85,81.89,90.66
0.43,91.94,93.52,94.61,89.42,91.89,80.07,90.24
0.47,91.61,92.97,95.97,88.95,94.00,79.88,90.56
0.50,91.75,93.34,94.45,89.08,92.48,80.36,90.24
0.53,92.34,92.85,93.59,89.75,92.26,81.91,90.45
0.57,92.23,92.82,95.71,88.38,94.59,81.35,90.85
0.60,92.69,93.25,95.61,87.20,94.19,82.25,90.86
0.63,92.60,93.08,95.79,86.79,92.60,83.55,90.73
0.67,92.31,92.38,96.53,85.74,90.95,83.96,90.31
0.70,92.69,92.93,96.52,86.67,89.31,87.14,90.88
0.73,90.38,90.87,96.36,85.49,92.18,88.97,90.71
0.77,90.17,90.82,96.02,84.57,89.85,88.84,90.04
0.80,89.79,90.42,94.64,84.38,87.24,90.76,89.54
0.83,87.78,86.92,91.79,82.66,86.51,85.86,86.92
0.87,87.73,86.87,91.13,83.20,82.93,86.22,86.35
0.90,88.03,87.76,88.74,86.90,81.87,88.89,87.03
0.93,88.21,88.85,84.25,94.07,76.20,84.79,86.06
0.97,86.81,85.90,83.62,80.33,74.34,74.40,80.90
1.00,87.73,87.66,80.80,87.21,77.26,84.69,84.22
1.03,89.30,89.27,79.81,91.03,77.07,85.70,85.36
1.07,85.52,85.60,79.39,87.01,75.08,81.01,82.27
1.10,84.22,84.96,76.53,93.18,72.05,82.63,82.26
1.13,84.55,85.09,76.02,93.10,70.89,85.02,82.45
1.17,85.59,85.91,73.03,90.98,70.56,82.89,81.49
1.20,87.77,87.87,74.30,94.42,69.14,87.19,83.45
1.23,84.97,85.04,74.44,91.70,71.59,89.76,82.92
1.27,83.92,83.70,76.48,96.73,71.86,93.99,84.45
1.30,81.50,81.35,73.66,93.13,73.79,87.47,81.82
1.33,78.26,77.52,68.72,86.55,71.33,78.90,76.88
1.37,72.11,71.04,66.93,77.26,69.20,67.97,70.75
1.40,81.51,79.73,69.11,82.32,56.62,59.02,71.38
1.43,81.48,79.20,71.68,82.38,59.02,61.71,72.58
1.47,85.19,84.22,76.41,80.94,64.22,70.98,76.99
1.50,85.49,85.06,79.16,86.07,72.53,79.10,81.24
1.53,75.82,75.17,78.27,83.30,61.70,71.58,74.31
1.57,68.33,67.43,71.52,73.97,59.15,80.31,70.12
1.60,66.02,65.03,73.32,68.22,61.49,73.97,68.01
1.63,61.59,60.74,69.97,61.69,60.98,66.54,63.59
1.67,58.62,57.89,65.97,58.45,59.98,60.63,60.26
1.70,56.82,56.20,64.36,56.76,58.72,58.47,58.55
1.73,56.75,55.70,65.22,56.33,59.18,56.25,58.24
1.77,56.33,55.63,66.45,56.11,59.85,55.43,58.30
1.80,55.68,54.96,65.72,54.99,58.78,54.51,57.44
1.83,54.51,53.77,64.12,53.69,57.87,53.18,56.19
1.87,54.65,53.91,64.25,53.38,58.15,52.11,56.07
1.90,54.43,53.60,64.21,53.06,58.23,51.73,55.88
1.93,54.14,53.31,63.94,52.88,57.93,51.89,55.68
1.97,56.62,56.03,66.47,54.67,58.53,53.73,57.68
2.00,57.03,56.58,66.78,55.27,58.65,54.53,58.14
2.03,57.87,57.44,68.17,55.85,59.62,56.32,59.21
2.07,56.87,56.51,67.09,55.18,58.89,55.70,58.37
2.10,56.45,56.24,66.16,54.96,57.87,56.18,57.98
2.13,56.54,56.40,65.71,55.32,57.29,57.40,58.11
2.17,56.98,57.04,66.40,55.95,57.90,58.62,58.81
2.20,57.32,57.48,67.10,56.42,58.04,59.22,59.26
2.23,56.89,57.05,66.76,56.23,57.54,59.36,58.97
2.27,61.35,61.99,72.09,60.14,59.61,64.68,63.31
2.30,61.63,62.09,72.26,60.54,58.98,65.29,63.47
2.33,61.43,61.46,72.25,60.18,59.85,65.16,63.39
2.37,60.29,60.08,70.50,59.22,59.12,63.96,62.20
2.40,59.90,59.50,69.86,58.93,58.82,63.84,61.81
2.43,59.67,59.30,70.11,58.25,58.78,62.04,61.36
2.47,60.01,59.85,70.88,58.11,59.68,60.95,61.58
2.50,59.79,59.63,70.85,57.50,60.20,59.83,61.30
2.53,59.51,59.46,70.80,56.82,60.44,58.90,60.99
2.57,58.70,58.76,70.10,55.68,60.12,57.86,60.20
2.60,57.29,57.26,68.16,54.39,58.84,56.63,58.76
2.63,56.14,56.08,66.72,53.52,57.77,55.71,57.66
2.67,55.31,55.22,65.67,52.94,56.86,55.14,56.86
2.70,55.29,55.13,65.76,52.96,57.02,54.81,56.83
2.73,55.28,55.09,66.08,53.00,56.99,54.90,56.89
2.77,55.27,55.09,66.17,53.01,56.85,55.08,56.91
2.80,55.28,55.11,66.23,53.05,56.90,55.20,56.96
2.83,55.32,55.15,66.33,53.12,56.95,55.31,57.03
2.87,55.33,55.16,66.41,53.13,56.95,55.34,57.05
2.90,55.30,55.11,66.33,53.08,56.78,55.19,56.97
2.93,55.31,55.11,66.34,53.08,56.76,55.15,56.96
2.97,55.27,55.07,66.30,53.04,56.68,55.07,56.90
3.00,55.23,55.00,66.40,53.00,56.62,55.08,56.89
3.03,55.18,54.91,66.42,52.96,56.49,55.07,56.84
3.07,55.10,54.79,66.34,52.91,56.34,55.06,56.76
3.10,55.07,54.77,66.34,52.90,56.27,55.08,56.74
3.13,54.91,54.60,66.12,52.80,56.08,54.97,56.58
3.17,54.73,54.41,65.84,52.63,55.86,54.85,56.38
3.20,54.74,54.45,65.82,52.63,55.78,54.91,56.39
3.23,54.96,54.69,66.08,52.78,55.94,55.25,56.62
3.27,55.00,54.75,66.16,52.82,55.97,55.41,56.68
3.30,55.04,54.78,66.25,52.85,56.03,55.54,56.75
3.33,55.38,55.15,66.71,53.12,56.34,55.97,57.11
3.37,56.11,55.90,67.82,53.82,57.24,56.82,57.95
3.40,56.40,56.18,68.11,54.07,57.65,57.16,58.26
3.43,56.57,56.39,68.52,54.39,58.04,57.66,58.59
3.47,57.21,57.01,69.37,54.87,58.78,57.96,59.20
3.50,57.93,57.73,70.39,55.51,59.53,58.72,59.97
3.53,58.27,58.03,70.48,55.78,59.55,58.97,60.18
3.57,57.63,57.34,69.45,55.39,58.83,58.52,59.53
3.60,57.46,56.92,68.90,55.15,58.49,58.12,59.17
3.63,57.24,56.51,68.40,54.85,58.19,57.58,58.79
3.67,57.10,56.52,68.22,54.66,57.88,57.29,58.61
3.70,56.89,56.54,67.84,54.56,57.67,57.01,58.42
3.73,56.94,56.71,67.60,54.66,57.29,57.00,58.37
3.77,57.05,56.99,67.62,54.83,57.26,57.05,58.47
3.80,57.61,57.60,67.60,55.28,57.40,57.46,58.83
3.83,58.73,58.68,68.38,55.98,58.06,58.29,59.69
3.87,59.19,59.10,68.17,56.26,57.65,58.74,59.85
3.90,59.80,59.77,68.84,56.60,57.83,59.53,60.39
3.93,60.28,60.21,69.48,57.00,57.97,60.31,60.87
3.97,60.41,60.29,69.70,57.20,58.07,60.85,61.09
4.00,61.06,60.88,70.26,57.58,58.47,61.67,61.65
4.03,61.58,61.43,70.59,57.83,58.74,62.19,62.06
4.07,61.80,61.54,70.71,57.92,58.78,62.41,62.19
4.10,61.92,61.54,70.72,57.93,58.76,62.61,62.25
4.13,62.34,61.91,71.20,58.33,59.02,63.00,62.63
4.17,62.61,62.15,71.52,58.55,59.23,63.11,62.86
4.20,62.65,62.24,71.59,58.59,59.18,63.25,62.92
4.23,63.75,63.33,73.01,59.40,60.26,64.14,63.98
4.27,64.35,63.99,73.65,59.85,60.72,64.59,64.52
4.30,64.34,64.05,73.59,59.88,60.61,64.64,64.52
4.33,62.85,62.65,71.97,58.62,59.67,62.81,63.09
4.37,62.16,62.05,71.24,58.07,59.28,61.78,62.43
4.40,61.21,61.22,69.94,57.47,58.63,60.98,61.57
4.43,61.19,61.34,69.93,57.39,58.65,60.99,61.58
4.47,61.32,61.63,70.43,57.44,59.45,61.09,61.89
4.50,61.28,61.80,70.67,57.43,59.87,60.92,62.00
4.53,63.06,63.81,73.01,58.27,61.30,61.97,63.57
4.57,63.35,64.20,73.38,58.38,61.61,62.29,63.87
4.60,68.14,68.88,79.81,60.93,64.96,64.79,67.92
4.63,71.08,71.41,83.64,62.39,66.70,66.17,70.23
4.67,71.75,71.94,84.33,62.91,66.92,66.52,70.73
4.70,66.65,66.06,79.51,59.51,67.51,65.50,67.46
4.73,65.52,65.13,78.14,59.02,66.46,64.97,66.54
4.77,64.55,64.27,76.86,58.58,65.51,64.55,65.72
4.80,63.72,63.58,75.61,58.11,64.61,64.28,64.98
4.83,63.41,63.52,75.05,57.91,64.16,64.19,64.71
4.87,63.31,63.59,74.60,57.76,63.38,64.14,64.46
4.90,63.41,63.77,74.38,57.73,62.99,64.37,64.44
4.93,63.62,63.96,74.27,57.79,62.81,64.77,64.54
4.97,63.82,64.21,74.61,57.81,62.93,65.00,64.73
5.00,69.44,70.04,82.41,59.04,68.19,65.95,69.18
5.03,82.33,81.78,83.03,62.37,80.80,70.30,76.77
5.07,65.70,63.82,53.80,60.06,63.34,67.43,62.36
5.10,71.57,69.38,58.31,61.21,69.06,69.36,66.48
5.13,74.56,72.10,60.63,61.51,71.92,69.92,68.44
5.17,77.82,75.25,63.10,61.57,75.15,70.39,70.55
5.20,79.78,77.20,64.83,61.51,76.77,70.62,71.79
5.23,86.15,84.50,75.00,60.74,83.08,69.46,76.49
5.27,84.84,84.36,81.82,60.13,82.44,68.30,76.98
5.30,68.26,68.58,83.18,57.10,69.11,62.03,68.05
5.33,67.10,67.34,81.54,56.74,67.92,61.74,67.06
5.37,66.71,66.87,81.02,56.74,67.49,61.74,66.76
5.40,65.08,65.14,78.56,56.05,65.73,61.06,65.27
5.43,63.03,63.01,75.70,55.23,63.84,60.20,63.50
5.47,61.90,61.81,74.03,54.63,62.68,59.59,62.44
5.50,62.36,62.25,74.52,54.57,63.10,59.80,62.77
