timestamp,Left Shoulder,Right Shoulder,Left Elbow,Right Elbow,Left Wrist,Right Wrist,average_similarity
0.00,65.31,66.16,69.67,62.98,73.26,59.32,66.12
0.03,56.80,56.77,59.68,54.95,61.62,53.62,57.24
0.07,58.31,58.44,61.20,57.45,65.91,54.79,59.35
0.10,59.19,59.37,63.07,58.88,69.14,54.91,60.76
0.13,59.04,59.18,63.21,59.09,68.67,54.87,60.68
0.17,57.65,57.70,60.50,57.68,66.50,54.08,59.02
0.20,56.40,56.44,59.70,56.30,65.81,52.24,57.81
0.23,57.00,57.03,60.61,56.85,66.69,53.25,58.57
0.27,57.28,57.31,60.59,57.77,66.97,53.82,58.96
0.30,57.32,57.34,60.24,58.81,66.18,54.19,59.01
0.33,57.40,57.42,60.53,58.30,65.80,53.87,58.89
0.37,58.06,58.05,61.45,58.24,66.97,54.07,59.47
0.40,58.19,58.23,61.42,58.03,67.61,54.63,59.68
0.43,58.40,58.42,61.51,57.70,67.30,54.61,59.66
0.47,60.14,60.12,63.94,59.67,70.12,55.30,61.55
0.50,60.95,60.84,64.26,60.24,69.93,55.03,61.88
0.53,60.51,60.42,64.03,60.02,70.05,55.17,61.70
0.57,62.58,61.83,63.98,59.08,62.46,52.37,60.38
0.60,62.74,62.17,64.58,60.05,64.72,53.91,61.36
0.63,62.03,61.86,64.68,60.61,67.22,54.71,61.85
0.67,62.46,61.97,64.92,60.16,66.26,54.27,61.67
0.70,62.77,62.06,65.42,60.16,66.48,54.40,61.88
0.73,62.07,61.72,65.56,60.39,69.74,55.24,62.46
0.77,61.81,61.57,65.29,60.29,70.51,55.30,62.46
0.80,62.22,61.74,65.37,59.82,68.34,54.52,62.00
0.83,60.97,60.74,64.77,59.90,70.55,55.29,62.04
0.87,59.57,59.50,63.36,59.09,70.46,55.38,61.23
0.90,58.87,58.85,62.86,58.71,69.91,55.27,60.74
0.93,58.75,58.74,63.13,58.58,69.56,55.23,60.67
0.97,58.74,58.73,63.24,58.59,69.07,55.10,60.58
1.00,58.75,58.74,63.35,58.60,68.80,54.98,60.53
1.03,58.69,58.69,63.31,58.35,68.47,54.81,60.39
1.07,58.65,58.65,63.20,58.26,68.23,54.70,60.28
1.10,58.68,58.68,63.17,58.27,68.25,54.63,60.28
1.13,58.71,58.71,63.19,58.30,68.31,54.62,60.30
1.17,58.71,58.71,63.16,58.30,68.31,54.61,60.30
1.20,58.70,58.69,63.05,58.31,68.16,54.60,60.25
1.23,58.69,58.68,63.04,58.32,68.14,54.60,60.25
1.27,58.67,58.67,62.99,58.32,67.99,54.59,60.20
1.30,58.65,58.65,62.92,58.31,67.83,54.57,60.15
1.33,58.61,58.61,62.76,58.29,67.57,54.54,60.06
1.37,58.58,58.57,62.67,58.28,67.50,54.52,60.02
1.40,58.53,58.53,62.59,58.24,67.69,54.47,60.01
1.43,58.47,58.47,62.47,58.24,67.73,54.42,59.97
1.47,58.46,58.46,62.38,58.22,67.65,54.40,59.93
1.50,58.45,58.45,62.35,58.22,67.48,54.39,59.89
1.53,58.44,58.43,62.31,58.21,67.43,54.42,59.87
1.57,58.42,58.42,62.29,58.23,67.35,54.43,59.86
1.60,58.26,58.26,61.99,58.17,67.07,54.36,59.68
1.63,58.13,58.13,61.77,58.10,66.88,54.32,59.55
1.67,58.04,58.04,61.59,58.05,66.66,54.27,59.44
1.70,57.99,57.99,61.48,58.04,66.54,54.23,59.38
1.73,57.99,57.99,61.44,58.11,66.40,54.25,59.36
1.77,58.02,58.02,61.44,58.18,66.29,54.24,59.36
1.80,58.05,58.05,61.42,58.23,66.19,54.24,59.36
1.83,58.05,58.06,61.40,58.26,66.03,54.24,59.34
1.87,58.05,58.06,61.39,58.28,66.00,54.25,59.34
1.90,58.05,58.06,61.37,58.31,66.02,54.25,59.34
1.93,58.04,58.04,61.33,58.31,66.03,54.26,59.34
1.97,58.03,58.03,61.28,58.30,66.02,54.29,59.33
2.00,58.17,58.17,61.40,58.32,66.24,54.28,59.43
2.03,58.23,58.24,61.42,58.29,66.33,54.27,59.46
2.07,58.24,58.25,61.37,58.23,66.34,54.22,59.44
2.10,58.22,58.24,61.26,58.12,66.31,54.13,59.38
2.13,58.24,58.25,61.19,58.06,66.34,54.04,59.35
2.17,58.23,58.24,61.13,57.98,66.35,53.89,59.30
2.20,58.21,58.22,61.08,57.93,66.29,53.78,59.25
2.23,58.22,58.23,61.07,57.91,66.29,53.68,59.23
2.27,58.18,58.20,61.01,57.88,66.23,53.59,59.18
2.30,58.15,58.17,60.96,57.86,66.17,53.55,59.14
2.33,58.14,58.16,60.92,57.84,66.15,53.49,59.12
2.37,58.16,58.18,60.92,57.88,66.19,53.47,59.13
2.40,58.21,58.23,61.06,57.95,66.40,53.56,59.24
2.43,58.24,58.26,61.15,57.97,66.50,53.59,59.29
2.47,58.28,58.30,61.24,58.02,66.63,53.67,59.36
2.50,58.32,58.34,61.34,58.07,66.79,53.77,59.44
2.53,58.37,58.38,61.44,58.11,66.95,53.83,59.51
2.57,58.39,58.39,61.50,58.14,67.02,53.89,59.56
2.60,58.41,58.41,61.58,58.16,67.14,53.93,59.60
2.63,58.45,58.45,61.68,58.18,67.30,53.97,59.67
2.67,58.48,58.48,61.80,58.22,67.49,54.02,59.75
2.70,58.51,58.51,61.88,58.24,67.64,54.06,59.81
2.73,58.52,58.52,61.91,58.25,67.75,54.11,59.84
2.77,58.55,58.54,61.97,58.28,67.92,54.15,59.90
2.80,58.61,58.59,62.04,58.38,68.01,54.26,59.98
2.83,58.66,58.63,62.08,58.44,68.08,54.33,60.04
2.87,58.69,58.65,62.07,58.46,68.12,54.37,60.06
2.90,58.69,58.64,62.04,58.45,68.10,54.39,60.05
2.93,58.70,58.65,62.02,58.45,68.18,54.41,60.07
2.97,58.71,58.66,61.99,58.46,68.23,54.43,60.08
3.00,58.74,58.68,61.98,58.46,68.28,54.34,60.08
3.03,58.74,58.68,61.93,58.46,68.31,54.28,60.07
3.07,58.74,58.68,61.89,58.45,68.33,54.23,60.05
3.10,58.74,58.67,61.83,58.43,68.29,54.20,60.03
3.13,58.72,58.66,61.74,58.42,68.08,54.20,59.97
3.17,58.70,58.63,61.67,58.34,67.97,54.00,59.88
3.20,58.62,58.56,61.54,58.15,67.71,53.82,59.73
3.23,58.59,58.53,61.47,58.12,67.63,53.78,59.69
3.27,58.57,58.51,61.42,58.08,67.57,53.74,59.65
3.30,58.56,58.50,61.38,58.05,67.53,53.71,59.62
3.33,58.57,58.51,61.35,58.04,67.49,53.70,59.61
3.37,58.55,58.49,61.31,58.04,67.40,53.66,59.57
3.40,58.44,58.39,61.17,58.00,67.15,53.60,59.46
3.43,58.35,58.30,61.07,57.95,66.96,53.56,59.36
3.47,58.30,58.26,61.02,57.94,66.87,53.53,59.32
3.50,58.28,58.24,61.01,57.93,66.84,53.52,59.30
3.53,58.29,58.25,61.05,57.95,66.88,53.56,59.33
3.57,58.30,58.26,61.08,57.98,66.91,53.57,59.35
3.60,58.26,58.22,61.00,57.98,66.78,53.60,59.31
3.63,58.15,58.13,60.85,57.95,66.57,53.57,59.20
3.67,58.03,58.01,60.68,57.90,66.31,53.54,59.08
3.70,57.89,57.87,60.48,57.83,66.05,53.50,58.94
3.73,57.77,57.76,60.33,57.74,65.86,53.46,58.82
3.77,57.69,57.68,60.26,57.66,65.76,53.45,58.75
3.80,57.60,57.59,60.16,57.60,65.59,53.43,58.66
3.83,57.54,57.54,60.12,57.57,65.48,53.41,58.61
3.87,57.48,57.48,60.06,57.55,65.34,53.40,58.55
3.90,57.50,57.50,60.10,57.60,65.35,53.43,58.58
3.93,57.50,57.50,60.10,57.65,65.30,53.46,58.59
3.97,57.51,57.51,60.12,57.71,65.28,53.56,58.61
4.00,57.56,57.55,60.22,57.74,65.29,53.60,58.66
4.03,57.59,57.59,60.27,57.75,65.32,53.61,58.69
4.07,57.62,57.62,60.32,57.78,65.32,53.66,58.72
4.10,57.66,57.66,60.39,57.80,65.33,53.71,58.76
4.13,57.68,57.67,60.42,57.81,65.32,53.72,58.77
4.17,57.70,57.69,60.44,57.81,65.35,53.74,58.79
4.20,57.72,57.71,60.48,57.84,65.41,53.79,58.82
4.23,57.78,57.76,60.56,57.87,65.50,53.85,58.89
4.27,57.81,57.80,60.61,57.88,65.54,53.86,58.92
4.30,57.85,57.84,60.63,57.89,65.54,53.86,58.93
4.33,57.87,57.86,60.65,57.90,65.57,53.85,58.95
4.37,57.89,57.88,60.65,57.90,65.57,53.85,58.96
4.40,57.87,57.87,60.55,57.89,65.51,53.84,58.92
4.43,57.86,57.85,60.47,57.88,65.49,53.83,58.90
4.47,57.86,57.86,60.47,57.90,65.55,53.84,58.91
4.50,57.86,57.85,60.47,57.90,65.61,53.82,58.92
4.53,57.89,57.89,60.52,57.91,65.74,53.83,58.96
4.57,57.87,57.87,60.51,57.76,65.71,53.79,58.92
4.60,57.84,57.84,60.47,57.68,65.64,53.77,58.87
4.63,57.81,57.82,60.45,57.63,65.59,53.76,58.84
4.67,57.80,57.81,60.44,57.58,65.55,53.75,58.82
4.70,57.80,57.81,60.44,57.56,65.53,53.76,58.82
4.73,57.81,57.81,60.41,57.54,65.36,53.77,58.78
4.77,57.85,57.86,60.47,57.62,65.39,53.85,58.84
4.80,57.95,57.96,60.62,57.66,65.67,53.91,58.96
4.83,58.05,58.06,60.77,57.70,65.89,53.94,59.07
4.87,58.08,58.09,60.84,57.72,65.96,53.96,59.11
4.90,58.14,58.15,60.92,57.75,66.09,54.00,59.17
4.93,58.20,58.22,60.98,57.79,66.16,54.03,59.23
4.97,58.27,58.29,61.09,57.80,66.37,53.99,59.30
5.00,58.34,58.35,61.35,57.87,66.64,54.06,59.44
5.03,58.33,58.34,61.41,57.89,66.84,54.17,59.50
5.07,58.42,58.46,61.65,57.96,67.35,54.43,59.71
5.10,58.34,58.40,61.81,57.89,67.88,54.35,59.78
5.13,58.28,58.33,61.92,57.80,68.33,54.19,59.81
5.17,58.31,58.36,62.04,57.81,68.72,54.21,59.91
5.20,58.32,58.39,62.11,57.71,68.52,54.33,59.89
5.23,58.29,58.35,62.15,57.64,68.35,54.36,59.86
5.27,58.23,58.28,62.41,57.54,67.79,54.30,59.76
5.30,58.28,58.32,62.69,57.56,67.81,54.33,59.83
5.33,58.28,58.32,62.93,57.46,67.77,54.25,59.84
5.37,58.21,58.25,62.96,56.93,67.46,53.84,59.61
5.40,58.23,58.26,62.95,56.76,67.25,53.80,59.54
5.43,58.22,58.25,63.11,56.73,66.97,53.77,59.51
5.47,58.22,58.25,63.19,56.72,66.82,53.84,59.51
5.50,58.21,58.24,63.17,56.73,66.09,53.92,59.39
5.53,58.21,58.23,63.23,56.77,65.83,54.06,59.39
5.57,58.22,58.24,63.14,56.80,65.18,54.19,59.29
5.60,58.34,58.36,62.84,56.82,64.62,54.20,59.20
5.63,58.68,58.69,63.09,57.15,64.66,54.41,59.45
5.67,58.83,58.84,63.16,57.13,64.60,54.51,59.51
5.70,58.84,58.83,63.22,57.00,64.27,54.62,59.46
5.73,58.85,58.84,63.26,56.86,63.20,54.82,59.31
5.77,58.93,58.93,63.09,56.82,61.37,55.14,59.04
5.80,58.93,58.94,62.72,56.64,60.19,55.32,58.79
5.83,59.06,59.08,63.34,56.62,60.63,55.62,59.06
5.87,59.01,59.03,63.52,56.37,61.07,55.71,59.12
5.90,58.68,58.72,63.04,55.92,59.62,55.61,58.60
5.93,58.58,58.63,62.97,55.85,58.85,56.29,58.53
5.97,58.53,58.59,62.97,55.76,58.71,56.65,58.54
6.00,58.36,58.42,62.96,55.82,58.34,57.77,58.61
6.03,58.29,58.35,62.48,55.84,56.69,58.37,58.34
6.07,58.12,58.16,62.16,55.75,56.56,58.43,58.20
6.10,58.15,58.18,61.85,55.74,56.16,58.43,58.08
6.13,58.27,58.28,62.49,55.78,56.11,59.04,58.33
6.17,58.36,58.36,62.77,55.81,55.45,59.68,58.41
6.20,58.41,58.41,62.83,55.82,54.88,60.08,58.41
6.23,58.45,58.44,63.12,55.85,54.92,60.45,58.54
6.27,58.45,58.44,63.31,55.85,54.95,61.06,58.67
6.30,58.45,58.44,63.13,55.87,53.54,61.58,58.50
6.33,58.40,58.40,62.96,56.21,53.15,62.27,58.56
6.37,58.28,58.28,62.83,56.14,53.18,62.21,58.49
6.40,58.44,58.44,63.07,56.52,53.17,62.62,58.71
6.43,58.48,58.48,63.07,56.66,53.09,62.85,58.77
6.47,58.53,58.52,63.09,56.75,52.98,63.03,58.82
6.50,58.62,58.61,63.13,57.03,52.96,63.77,59.02
6.53,58.73,58.72,63.05,57.43,52.90,64.45,59.22
6.57,58.86,58.85,63.02,57.55,52.49,64.11,59.14
6.60,58.93,58.92,62.97,57.78,51.75,64.95,59.22
6.63,58.93,58.91,62.89,57.81,51.52,65.18,59.21
6.67,58.99,58.97,62.78,57.83,51.27,64.90,59.12
6.70,59.00,58.99,62.63,57.78,51.10,64.59,59.02
6.73,59.10,59.08,62.81,57.78,51.18,64.43,59.06
6.77,59.12,59.10,62.81,57.73,51.17,64.30,59.04
6.80,59.26,59.24,63.38,57.78,51.50,64.26,59.24
6.83,59.36,59.34,63.78,57.82,51.79,64.46,59.43
6.87,59.47,59.45,64.29,57.94,51.99,65.09,59.70
6.90,59.52,59.50,64.62,57.92,52.07,65.13,59.79
6.93,59.60,59.59,65.05,57.97,52.41,65.41,60.01
6.97,59.57,59.56,65.13,57.87,52.86,65.24,60.04
7.00,59.52,59.52,65.12,57.63,53.15,64.85,59.97
7.03,59.50,59.51,65.13,57.51,53.39,64.56,59.94
7.07,59.49,59.51,65.17,57.49,53.66,64.80,60.02
7.10,59.48,59.50,65.25,57.48,54.11,64.88,60.12
7.13,59.49,59.51,65.39,57.49,54.33,65.00,60.20
7.17,59.49,59.52,65.46,57.46,54.45,64.96,60.22
7.20,59.53,59.54,65.63,57.45,54.40,65.27,60.30
7.23,59.41,59.43,65.46,57.33,54.17,65.11,60.15
7.27,59.38,59.39,65.35,57.30,53.93,64.99,60.06
7.30,59.35,59.36,65.17,57.28,53.85,64.59,59.93
7.33,59.39,59.40,65.19,57.32,53.65,64.57,59.92
7.37,59.41,59.42,65.18,57.40,53.30,64.75,59.91
7.40,59.47,59.48,65.25,57.42,53.10,64.95,59.94
7.43,59.50,59.50,65.30,57.44,52.83,65.29,59.98
7.47,59.58,59.58,65.37,57.79,52.61,66.63,60.26
7.50,59.88,59.87,66.29,58.45,52.93,70.36,61.30
7.53,59.87,59.86,66.46,58.59,52.92,72.67,61.73
7.57,59.81,59.81,66.35,58.57,52.86,73.10,61.75
7.60,59.97,59.98,66.35,59.06,52.89,76.19,62.41
7.63,59.84,59.85,65.71,59.07,52.65,75.42,62.09
7.67,59.66,59.66,64.88,58.98,52.57,74.93,61.78
7.70,59.47,59.46,63.70,58.97,52.60,73.19,61.23
7.73,59.26,59.26,61.66,59.34,52.73,71.36,60.60
7.77,58.69,58.68,59.74,59.83,53.23,68.95,59.85
7.80,58.37,58.37,58.62,60.63,53.56,66.27,59.30
7.83,58.15,58.15,57.61,61.46,54.33,64.19,58.98
7.87,58.10,58.10,57.00,62.24,56.90,62.74,59.18
7.90,58.43,58.42,56.90,62.87,58.59,62.04,59.54
7.93,58.45,58.43,56.65,63.40,58.89,59.96,59.30
7.97,58.40,58.38,55.67,64.08,58.53,58.40,58.91
8.00,57.85,57.85,54.68,64.82,58.59,57.30,58.52
8.03,57.45,57.45,53.94,64.80,57.93,56.41,58.00
8.07,56.96,56.96,53.29,64.84,58.89,55.89,57.80
8.10,56.48,56.48,52.76,64.70,59.52,55.50,57.58
8.13,56.31,56.30,52.57,64.71,59.38,55.31,57.43
8.17,56.14,56.14,52.35,64.66,59.57,54.91,57.30
8.20,56.04,56.04,52.12,64.64,59.43,54.69,57.16
8.23,55.90,55.90,51.79,64.60,59.52,54.67,57.06
8.27,55.94,55.94,51.72,64.69,59.60,54.80,57.11
8.30,55.81,55.81,51.57,64.63,59.54,54.75,57.02
8.33,56.56,56.55,52.25,65.33,59.05,55.18,57.49
8.37,56.78,56.76,52.30,65.48,58.55,55.27,57.52
8.40,56.89,56.87,52.29,65.53,58.12,55.05,57.46
8.43,57.64,57.59,52.78,66.32,58.08,55.68,58.02
8.47,57.63,57.59,52.78,66.29,58.06,55.77,58.02
8.50,57.66,57.62,52.86,66.29,58.18,55.69,58.05
8.53,57.51,57.48,52.74,65.97,58.34,55.35,57.90
8.57,57.40,57.38,52.71,65.62,58.78,55.22,57.85
8.60,57.68,57.63,53.34,65.69,58.02,55.22,57.93
8.63,59.08,58.91,53.96,66.03,55.56,54.73,58.04
8.67,58.89,58.79,53.95,65.87,56.03,54.85,58.06
8.70,58.51,58.53,53.84,65.63,56.46,54.34,57.88
8.73,57.86,57.91,52.98,65.62,56.83,54.43,57.61
8.77,57.61,57.67,52.74,65.41,57.13,54.26,57.47
8.80,57.66,57.71,53.04,65.26,57.29,54.48,57.57
8.83,57.61,57.64,53.06,64.94,57.45,54.25,57.49
8.87,57.61,57.64,53.16,64.70,57.64,54.06,57.47
8.90,57.55,57.58,53.15,64.39,57.77,53.90,57.39
8.93,57.28,57.31,52.87,64.26,57.80,53.91,57.24
8.97,57.08,57.12,52.60,64.17,57.79,54.01,57.13
9.00,57.11,57.16,52.75,64.15,57.77,54.07,57.17
9.03,57.13,57.17,52.75,64.13,57.73,54.06,57.16
